상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024,resident_pop_2024_high25,resident_pop_2024_high10,floating_pop_2024_high25,floating_pop_2024_high10,estimated_sales_2024_high25,estimated_sales_2024_high10,is_active_25,is_active_10,log_resident_pop_2024,z_resident_pop_2024,log_floating_pop_2024,z_floating_pop_2024,log_estimated_sales_2024,z_estimated_sales_2024,score,상권_코드_명,시군구명,행정동명,lat,lon
3110013,7542,3102728,180475480,False,False,False,False,False,False,False,False,8.928375259853631,-0.9029319249923043,14.947792604779352,-1.2517268847880645,19.01110548717503,-2.2784103847334274,-1.4776897315045987,체부동홍종문가옥,종로구,사직동,37.578365143458655,126.9698859046316
3110014,18944,1300950,2249980398,False,False,False,False,False,False,False,False,9.8492953234527,-0.2727901913794864,14.078606093449466,-2.007870357696353,21.53418734156924,-0.9757909478690472,-1.0854838323149625,경복고등학교,종로구,청운효자동,37.585123396750774,126.97151402324239
3110015,13048,1809723,4529455102,False,False,False,False,False,False,False,False,9.476466781462246,-0.5278990038339028,14.408684905426965,-1.7207203203122832,22.233867482892908,-0.6145593254827584,-0.954392883209648,청와대사랑채,종로구,청운효자동,37.58215495554647,126.9726624772989
3110016,44664,817342,2840501002,False,False,False,False,False,False,False,False,10.70694547613594,0.3140589559102388,13.613814114380125,-2.4122132883012903,21.76724628306824,-0.8554670247260439,-0.9845404523723652,평창동동측,종로구,평창동,37.61294467035928,126.97538814071137
3110017,15484,10558799,573115937,False,False,False,False,False,False,False,False,9.647627092407305,-0.4107821558817414,16.172470193421653,-0.1863261301766361,20.166598589290565,-1.6818511524766506,-0.7596531461783428,정독도서관,종로구,가회동,37.5835859804755,126.98393422191549
3110018,61030,11332847,8148864305,False,False,False,False,False,False,False,False,11.01913721078854,0.527676889398143,16.24321596946596,-0.1247812763455664,22.82114440553216,-0.3113593587755889,0.0305120847589958,중앙고등학교,종로구,가회동,37.58276069079901,126.98735512545943
3110019,5274,14235700,13240694881,False,False,False,False,False,False,False,False,8.570733958344267,-1.1476488321947624,16.471263522300898,0.0736072931284481,23.3065608696128,-0.0607480201128392,-0.3782631863930512,창덕궁,종로구,종로1·2·3·4가동,37.57588354595465,126.99118969900422
3110020,87008,46994325,12248151978,True,False,True,False,False,False,True,False,11.37376684056218,0.770333053085898,17.66553742898242,1.1125585511504217,23.228640903699663,-0.1009766246432441,0.5939716598643584,서울국제고등학교,종로구,혜화동,37.58954875064928,126.99536246796019
3110021,41022,32664930,11821669052,False,False,True,False,False,False,False,False,10.621888164008205,0.2558582887305612,17.301812613902086,0.796138379791611,23.19320004479332,-0.119274069726195,0.3109075329319924,성균관대학교,종로구,혜화동,37.5846873100804,126.99670101307026
3110022,33748,13200352,6029776895,False,False,False,False,False,False,False,False,10.42670606623208,0.1223044762724376,16.39575412962327,0.0079183602329087,22.51997584799605,-0.4668469883725828,-0.1122080506224121,경신고등학교,종로구,혜화동,37.58905769533674,126.99968337969042
3110023,12684,12780836,5510562611,False,False,False,False,False,False,False,False,9.448175472033382,-0.5472573992846533,16.363457497726838,-0.020177896539466,22.42993256233964,-0.513334633571606,-0.3602566431319084,서울대병원,종로구,이화동,37.578935111886025,127.00157095998574
3110024,24982,8639595,9786224960,False,False,False,False,False,False,False,False,10.125950872545474,-0.0834879769857483,15.97186638042773,-0.3608401865484787,23.004241617593262,-0.2168297315060283,-0.2203859650134184,혜회동주민센터,종로구,혜화동,37.58728443009541,127.00136657168196
3110025,13546,8950778,2248830871,False,False,False,False,False,False,False,False,9.513920399580735,-0.5022712769723311,16.0072511255695,-0.3300574446044804,21.53367630567297,-0.976054786035955,-0.6027945025375888,충신시장옆,종로구,종로5·6가동,37.574866666606646,127.00419315035002
3110026,2398,8386872,50461479,False,False,False,False,False,False,False,False,7.782807262839695,-1.686789538853563,15.942178303369486,-0.3866671470433475,17.73672083090957,-2.936351077542102,-1.6699359211463374,종로5가역 4번,종로구,종로5·6가동,37.572954580166126,127.00539414154453
3110027,59274,11011730,1755265723,False,False,False,False,False,False,False,False,10.989942910933609,0.507700620610705,16.214471717049427,-0.149787162383921,21.28588609208956,-1.1039841863114053,-0.2486902426948737,혜화역 1번,종로구,이화동,37.58211212409962,127.00574449745179
3110028,87210,56533606,22855257765,True,False,True,True,False,False,True,False,11.376085748730224,0.7719197714894365,17.850345833444138,1.2733314887774811,23.85244702698636,0.221082677401624,0.755444645889514,이화달팽이길,종로구,이화동,37.57650668797621,127.006507200374
3110029,117840,74377437,12812561229,True,False,True,True,False,False,True,False,11.67709153718333,0.9778836948098324,18.12466320112475,1.5119721998024556,23.27369187276045,-0.0777176614645625,0.8040460777159085,동대문역 1번,종로구,창신2동,37.576127612824585,127.01056790763259
3110030,4006,3808600,3185135756,False,False,False,False,False,False,False,False,8.295798110636145,-1.3357743368450017,15.152772488070491,-1.0734058929091754,21.88176074892402,-0.7963453720669798,-1.0685085339403857,동대문역 3번,종로구,창신1동,37.57344577003456,127.01203586491344
