상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024,resident_pop_2024_high25,resident_pop_2024_high10,resident_pop_2024_high50,floating_pop_2024_high25,floating_pop_2024_high10,floating_pop_2024_high50,estimated_sales_2024_high25,estimated_sales_2024_high10,estimated_sales_2024_high50,is_active_25,is_active_10,is_active_50,상권_코드_명
3110051,26612,22040897,10353164181,False,False,False,False,False,True,False,False,False,False,False,False,한양공고앞 교차로
3110052,38196,15547390,46238625034,False,False,True,False,False,True,False,False,True,False,False,True,장충초등학교
3110053,56228,26999669,12825798393,False,False,True,False,False,True,False,False,False,False,False,False,청구역 1번
3110054,42716,25759082,29131764135,False,False,True,False,False,True,False,False,True,False,False,True,청구역 3번
3110055,6210,12551034,2603316409,False,False,False,False,False,False,False,False,False,False,False,False,황학동벼룩시장
3110056,108592,47917598,29294716024,True,False,True,True,True,True,False,False,True,True,False,True,신당역 3번
3110057,37066,19595663,12449331563,False,False,False,False,False,True,False,False,False,False,False,False,황학코아루아파트
3110058,82986,37485250,71949647596,True,False,True,True,False,True,True,False,True,True,False,True,성심여자고등학교
3110059,37396,16265458,6554421140,False,False,False,False,False,True,False,False,False,False,False,False,새남터성지
3110060,74642,20782412,20325261054,True,False,True,False,False,True,False,False,True,False,False,True,효창공원앞역 6번
3110061,84694,33653554,5536730037,True,False,True,True,False,True,False,False,False,True,False,False,효창동주민센터
3110062,26962,20253154,44483395377,False,False,False,False,False,True,False,False,True,False,False,False,한강로동땡땡거리(은행나무길)
3110063,60784,22067999,33506798687,False,False,True,False,False,True,False,False,True,False,False,True,효창공원앞역 5번
3110064,64278,34419434,41655078147,False,False,True,True,False,True,False,False,True,False,False,True,효창공원앞역 2번
3110065,3674,1790398,205334865855,False,False,False,False,False,False,True,True,True,False,False,False,남정초등학교
3110066,60994,38212916,20823599726,False,False,True,True,False,True,False,False,True,False,False,True,서울역 15번
3110067,170616,56192814,16753242210,True,True,True,True,True,True,False,False,False,True,True,False,배문고등학교
3110068,79892,42591015,36214150479,True,False,True,True,False,True,False,False,True,True,False,True,남영역 1번
3110069,116926,58466510,81192788648,True,False,True,True,True,True,True,False,True,True,False,True,숙대입구
3110070,2384,1408873,825116515,False,False,False,False,False,False,False,False,False,False,False,False,용산세무서
3110071,11282,1770767,6635284290,False,False,False,False,False,False,False,False,False,False,False,False,한강미주맨션아파트
3110072,2584,7040878,18138472585,False,False,False,False,False,False,False,False,True,False,False,False,열정도
3110073,10612,4617679,1193589068,False,False,False,False,False,False,False,False,False,False,False,False,삼각지역 3번
3110074,69706,18683589,44599408117,False,False,True,False,False,True,False,False,True,False,False,True,서울역 12번
3110075,69432,21830069,13285500734,False,False,True,False,False,True,False,False,False,False,False,False,숙대입구역 1번
