상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024
3110202,27610,13062091,866936551
3110203,38768,19491728,4066987461
3110204,75482,33468008,45000545400
3110205,56022,48756863,23992984088
3110206,82086,36855635,9031211819
3110207,20072,14791314,4002401353
3110208,18760,9341934,309816502
3110209,14912,9241736,149591922
3110210,80534,56344346,16320182347
3110211,77776,59735143,14691362001
3110212,48730,22799474,16256824583
3110213,18172,12443283,519101070
3110214,59370,36143812,11577649748
3110215,45230,19614614,2792921594
3110216,25412,9413095,16516149179
3110217,12764,14132016,1193154881
3110218,55186,29984099,33176411253
3110219,155012,40851406,47360551621
3110220,43814,32548780,55425097589
3110221,22758,7965534,3117062214
3110222,3308,1213115,165000000
3110223,35714,9442151,1239777834
3110224,19768,15326525,13805180717
3110225,27028,10372312,9395633926
3110226,236054,71112813,183307580737
3110227,18322,13184114,14447002549
3110228,117252,41700166,46176552907
3110229,159544,42558826,105453483543
3110230,77384,25354242,24207946982
3110232,70352,19256350,101534913025
3110233,114110,35703830,17665463812
3110234,16942,8954526,8794810116
3110236,175906,48581485,11424835600
3110237,93692,26340228,45247094709
3110238,30692,3780035,37695228
3110239,5752,4285845,3481320132
3110240,28514,16673876,24008694181
3110241,64424,28673401,55671524267
3110242,92504,17464614,5255025849
3110243,101484,24786369,28811831959
3110244,35038,24418512,42237652674
3110245,49714,13600456,6688747722
3110246,63018,31380431,10767413955
3110247,131426,51101328,32266112810
3110248,35320,13351973,10056049891
3110249,141244,44664508,58562585698
3110250,32868,13855953,4000297811
3110251,87980,20124344,7214573665
3110252,100018,23660401,35987440480
3110253,72880,21803509,14444027725
3110254,156506,86503775,38980435575
3110255,136218,60180115,40432157130
3110256,175382,39541992,35440180253
3110257,90658,46311346,2036581256
3110258,125880,23396007,10298295430
3110259,85714,34334206,36596444252
3110260,48442,32285243,18809230766
3110261,107656,39265166,9966715769
3110262,93688,42828409,52714441298
3110263,157580,42630667,9491076345
3110264,212830,72352359,44653735513
3110265,23192,11416830,17147688931
3110266,117596,40835303,9412153227
3110267,97828,37699248,17969832588
3110268,56938,15634674,6431484963
3110269,32586,13119415,8099395329
3110270,25744,8728491,6466060000
3110271,5216,1235199,2838453295
3110272,79214,33011863,72402440661
3110273,49056,17962503,24559175955
3110274,145360,33791493,33688547994
3110275,19138,11594847,14991346130
3110276,10974,1255247,480025550
3110277,79190,29493780,17216923566
3110278,84810,26518044,33318920501
3110280,15886,6046684,268060725
3110281,23828,1827714,259923609
3110282,16576,1114466,3493554018
3110283,10984,3883346,8453419504
3110284,30186,2307430,754772589
3110285,43834,4105610,7011669745
3110286,57322,18071052,18034567741
3110287,37986,5719745,3478457171
3110288,40776,6883101,12033682467
3110289,114424,32655367,6235103922
3110290,29038,5037641,1371550212
3110291,102186,57173820,24842807826
3110292,11420,7550740,4985188453
3110293,53238,37828270,23273094276
3110294,149168,40455089,20556906140
3110295,108368,24792883,22679205733
3110296,40920,21762410,17160219853
3110297,141854,54975396,14274469414
3110298,14522,7185045,179214167
3110299,72962,50759279,43640816877
3110300,87300,77742500,19858361222
3110301,75744,36395966,9108479600
3110302,45800,10229702,11016684410
3110303,70424,35322553,8779137946
3110304,35966,23836470,14262331933
3110305,60136,50340578,14527185042
3110306,24744,4023015,3323151357
3110307,5378,17998490,3256185600
3110308,25570,23862723,22006479336
3110309,31822,8297662,1170504311
3110312,32114,13909077,35062838171
3110313,22588,37399109,58015592662
3110314,23524,19091892,56286288945
3110315,65980,37867934,18729758350
3110316,99690,78277690,46836447590
3110317,51126,16341731,15392443175
3110318,39184,26438982,16923528105
3110319,68428,30605827,33668558236
3110320,20408,5271977,5981495019
3110322,62554,20918774,3176255200
3110323,47726,36112476,10166782806
3110325,74910,25742066,13867741129
3110326,30086,10324742,14679288
3110327,75852,29288682,25008517014
3110328,47166,23397838,5759559752
3110329,54714,12046818,5909493133
3110330,44872,21218988,8559406927
3110331,71174,30018142,24007339262
3110332,17444,5991760,3504380459
3110333,29230,20229177,17816696010
3110334,59814,48243498,11116806086
3110335,93520,34391101,68820747369
3110336,49658,11271646,1540206722
3110337,60600,11888952,11591133643
3110338,45838,4631341,894168
3110339,802,638075,5190184490
3110340,32606,7908799,1133834717
3110341,48742,6695365,20807739865
3110342,58416,25220858,1788128541
3110343,101082,21955711,3063039218
3110344,23708,7987564,446739722
3110345,63208,16515597,23083912399
3110346,26184,18122929,14261919952
3110348,86764,50062263,9452150141
3110349,23768,14319528,776097502
3110350,62376,16344948,7093512468
3110351,65486,18314391,4399798093
3110352,106962,39384357,19611114508
3110353,48198,19684740,8836620439
3110354,5664,2297795,5012700230
3110355,67810,35442596,19577162537
3110356,70334,24943522,4325497578
3110357,36186,26700029,6670174254
3110358,78418,26911249,2899051040
3110359,140942,30911157,9319778289
3110360,87502,35722912,15550819955
3110361,54186,24564721,4157150566
3110362,117416,26820752,11069385591
3110363,20704,8038189,290768374
3110364,94770,41658147,17211005758
3110365,105288,44797480,9501114041
3110366,44826,15633244,8342714578
3110367,39392,34897691,17816314412
3110368,79500,64612943,3477777499
3110369,98228,32187009,33535762271
3110370,65392,40994493,17781382186
3110371,35670,19605697,18945371475
3110372,62394,36738261,14154934175
3110373,74160,33329698,5126384469
3110374,123962,65549893,8482563751
3110375,50364,13655929,3335877239
3110376,172784,84537800,39596461672
3110377,17314,18626407,8347708259
3110378,39864,20519542,9844440280
3110379,19216,4139735,1930430995
3110380,49852,17620184,65547080
3110381,21742,9977374,5741532962
3110382,16990,13620760,4268530231
3110383,13892,4905827,10941503019
3110386,7682,767524,3679207986
3110387,113164,38329507,13501127731
3110388,59584,17203899,8112264973
3110389,24076,9881001,29659313922
3110390,36242,18642576,27263399747
3110391,107106,13663036,3259128656
3110392,3152,3225491,27334296988
3110393,5006,1264801,16097057580
3110394,153368,27007099,33368030819
3110395,30664,8057152,5760258299
3110396,45172,24166543,65591551585
3110397,164852,40944729,96676056477
3110398,66590,21436325,44611953290
3110399,178788,44354279,23596246295
3110400,87262,34104255,25828697464
3110401,15010,4722828,6725298123
3110402,68532,19610658,13772902555
3110403,132608,38720730,31020438047
3110404,223606,89887999,49041703484
3110405,151292,40135531,66745889678
3110406,34306,6106122,27774187414
3110407,140366,24607687,39948542273
3110408,23852,9577063,21663020557
3110409,60758,18316363,23719464957
3110410,56706,16858490,35458723109
3110411,33780,13515565,3840164095
3110412,8250,3752708,3903523954
3110413,39934,2804039,3744738638
3110415,111612,48324248,87844050084
3110416,54204,21660693,34769860696
3110417,22210,10240864,2441222372
3110418,33032,21329546,3057595949
3110419,67290,25764075,64519981107
3110420,30782,14236814,17566598726
3110421,24980,11979217,41324106149
3110422,20356,22045439,8102421250
3110423,10350,8517297,9250942310
3110424,63012,61217499,35134373193
3110425,77170,22327625,17950846057
3110426,88692,41722615,8504192177
3110428,187392,93176513,37489425586
3110429,104628,51496428,50633303499
3110430,1028,2640843,72206871352
3110431,20190,12526837,95713764871
3110432,40950,10296549,9227638049
3110433,94756,35330620,3284115551
3110434,35616,11704489,2005775684
3110435,6198,2663485,10457684252
3110436,33658,11771161,13371013288
3110437,42638,37499757,6613845486
3110438,77310,39815995,69068386571
3110439,86564,23501019,8772586752
3110440,35322,13662215,8061606
3110441,48732,23320075,17168536743
3110442,8458,3848544,2102970298
3110444,12062,4320149,2683614618
3110446,34248,7289752,1250994199
3110447,35060,11224050,446290975
3110448,56506,14862855,4153747146
3110449,112114,24284609,20451187511
3110450,175424,49467827,30834111465
3110451,118366,28905879,14427105622
3110452,60394,21850927,7612219946
3110453,178996,39093485,22761239101
3110454,130782,29920084,8368072660
3110455,175876,37232395,22194367996
3110456,179936,39947588,14667629390
3110457,95882,16732226,7108855151
3110458,117514,29066472,12583186655
3110459,106576,28261113,8366048653
3110460,120534,38189932,55868159429
3110461,36296,7148422,6422307499
3110462,110382,25325638,4133241331
3110463,45202,15290497,22017914363
3110464,91744,13327465,19734748154
3110465,58042,37235038,18493643253
3110466,90646,25759753,6486228867
3110467,27494,17663788,28899424116
3110468,251920,76039612,24873595615
3110469,155288,45413434,49446217670
3110470,46348,15689007,6118699791
3110471,99860,37193855,51264496601
3110472,118160,32314563,18469535723
3110473,203592,44206201,27753244844
3110474,101334,24151143,3953543444
3110475,69898,15009900,10853229453
3110476,26470,3956149,467638134
3110477,68096,10240645,17571144886
3110478,69440,12681510,9327039748
3110479,80790,27692644,18097458158
3110480,68170,10698566,4274475072
3110481,76990,63519936,17951427108
3110482,31812,9512098,5066209804
3110483,71162,15747205,1638997383
3110484,177710,42829526,13941845373
3110485,58694,14442133,3629045654
3110486,42832,13336576,31109930057
3110487,7560,3603838,20072911931
3110488,69714,10545109,11661466059
3110489,28660,11183786,5847086973
3110490,110662,16036875,3661599472
3110491,29946,2576985,424526899
3110492,18380,590363,902563126
3110493,29740,9917987,665463455
3110494,17922,4416990,438130377
3110495,135872,32525584,37404271217
3110496,45432,22011794,37669990679
3110497,3986,3306975,1897895394
3110498,75492,48517374,14950202051
3110499,133678,53970041,2499260161
3110500,15958,4107964,9667987751
3110501,29184,6216470,1913456594
3110502,82150,41004280,54927453578
3110503,111270,43679137,31456382427
3110505,3616,1746154,851233651
3110506,11946,5402458,4053192470
3110507,141520,42978959,59783509160
3110508,46166,16290721,7098935552
3110509,80064,23045259,18435883534
3110510,23960,23395279,7565464411
3110511,128298,22908539,11933639606
3110512,73938,19042748,70913674
3110513,21586,7522218,9412819591
3110514,45374,18091180,3166722652
3110515,54486,8196978,351550803
3110516,24978,3630725,560945422
3110517,18896,5901366,6850161680
3110519,86416,27218478,8578534673
3110520,35328,16449334,9649884820
3110521,19952,15907400,8285275309
3110522,28632,8262598,1166565931
3110523,11278,2785178,933759388
3110524,5178,3563495,8320331372
3110525,11136,9244443,7422636415
3110526,26498,3452739,5624302714
3110527,58324,11038215,8235003727
3110528,33326,21393894,14383619864
3110529,73088,27769767,17983843798
3110530,5702,5508442,4477505633
3110532,43952,25514922,26606837817
3110533,23892,120069116,325468799
3110534,35248,14624065,546572868
3110535,28894,25184372,4541074199
3110536,15396,3121265,2769871697
3110537,21632,11392655,9583793452
3110538,8696,9924958,8107905704
3110539,10222,7165673,18717671170
3110540,60418,15360212,3732465248
3110541,102072,32110142,26855787087
3110542,108102,39270196,19630231976
3110543,21064,3082068,190870670
3110544,268338,122858245,82584012027
3110545,101044,13488948,33757315297
3110546,56716,18694338,3344941368
3110547,53014,21403861,28654632053
3110548,57352,29214410,11653214819
3110549,55474,27040513,8367112889
3110550,123122,42557651,106182866014
3110551,88438,33463007,11208485115
3110552,45792,19329333,8782692572
3110553,69392,20382920,8867815738
3110554,89556,27593236,12991320069
3110555,5084,5764144,5805045571
3110556,22940,5050938,291125258
3110557,69174,22417264,28737581904
3110558,180486,64782885,41474107839
3110559,54138,21401926,23559685522
3110560,32906,23611901,35961251236
3110561,47528,19517649,13777387356
3110562,61736,26891964,15632191523
3110563,16430,4936338,53912073
3110564,12618,20004519,43563587509
3110565,32424,9538747,5463182486
3110566,39654,38750691,68060995981
3110567,6070,6934439,557662219
3110568,10772,7851903,7796247124
3110569,41018,21766498,38013196634
3110570,11796,5332558,5547866503
3110571,48768,13701597,2334927321
3110572,59138,46241240,27325542484
3110573,4066,2771400,996023395
3110575,55612,28603465,3019670366
3110576,23492,26984290,54043203035
3110577,18560,14217613,36793210382
3110578,58190,47400552,44298548362
