상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024,resident_pop_2024_high25,floating_pop_2024_high25,estimated_sales_2024_high25
3111059,243838,85603716,83553296266,True,True,True
3111013,190220,58667898,83546114034,True,True,True
3130146,75284,42101266,83086752084,True,True,True
3110544,268338,122858245,82584012027,True,True,True
3130010,2102,29522673,82211846290,False,True,True
3110069,116926,58466510,81192788648,True,True,True
3111006,192938,55497769,80264526766,True,True,True
3111089,82072,21308490,79537662874,True,False,True
3110850,180802,67412433,77971043485,True,True,True
3110714,91286,35861878,77190014798,True,True,True
3110892,258636,118059948,73395076849,True,True,True
3110939,134114,46680014,72555125392,True,True,True
3110272,79214,33011863,72402440661,True,True,True
3110865,193748,56005113,72089564582,True,True,True
3110058,82986,37485250,71949647596,True,True,True
3110645,161144,35399612,71622131366,True,True,True
3110128,164758,36229987,71175647728,True,True,True
3120206,85980,31636935,70735710956,True,True,True
3110861,156756,48641494,69248897062,True,True,True
3110438,77310,39815995,69068386571,True,True,True
3110335,93520,34391101,68820747369,True,True,True
3111044,109164,36845983,68080169613,True,True,True
3110566,39654,38750691,68060995981,False,True,True
3110405,151292,40135531,66745889678,True,True,True
3110648,75992,3722416,66254746789,True,False,True
3110634,178910,51592971,65281586976,True,True,True
3110902,211356,68670342,61913942998,True,True,True
3110810,74524,39815326,61570724774,True,True,True
3111060,212930,82127070,61461069034,True,True,True
3110507,141520,42978959,59783509160,True,True,True
3110249,141244,44664508,58562585698,True,True,True
3110313,22588,37399109,58015592662,False,True,True
3110942,187206,44037546,56905696087,True,True,True
3110710,120208,61159781,56863499138,True,True,True
3110659,423004,121546773,56652348811,True,True,True
3111010,200462,48044974,55933786340,True,True,True
3110460,120534,38189932,55868159429,True,True,True
3120030,7828,31664226,55546199613,False,True,True
3110220,43814,32548780,55425097589,False,True,True
3110502,82150,41004280,54927453578,True,True,True
3110881,223788,106110084,53358509035,True,True,True
3110262,93688,42828409,52714441298,True,True,True
3110187,91228,66868366,51910326251,True,True,True
3110713,155892,70736843,51906715713,True,True,True
3110471,99860,37193855,51264496601,True,True,True
3110855,100266,36296754,51129701107,True,True,False
3110429,104628,51496428,50633303499,True,True,False
3110815,107602,36616777,50074784934,True,True,False
3110469,155288,45413434,49446217670,True,True,False
3110404,223606,89887999,49041703484,True,True,False
3110690,105578,45045384,49015276134,True,True,False
3110717,159634,80907470,48739635152,True,True,False
3110219,155012,40851406,47360551621,True,True,False
3110837,92608,45174688,47016631488,True,True,False
3110316,99690,78277690,46836447590,True,True,False
3110159,194822,89609375,46753158045,True,True,False
3110228,117252,41700166,46176552907,True,True,False
3110869,244902,105099339,45310688385,True,True,False
3110204,75482,33468008,45000545400,True,True,False
3110264,212830,72352359,44653735513,True,True,False
3110695,121762,39369966,44069917724,True,True,False
3111015,227404,47453852,43957348061,True,True,False
3110147,137324,30037156,43921298634,True,True,False
3110606,156546,38988183,43704004177,True,True,False
3110654,276214,73330409,43686628770,True,True,False
3111078,207908,95773665,43323537783,True,True,False
3111005,189736,35493318,43099713889,True,True,False
3110140,113102,55889927,42569205769,True,True,False
3120239,89544,33925582,42230955879,True,True,False
3110558,180486,64782885,41474107839,True,True,False
3110846,195096,71840440,41426561178,True,True,False
3110646,189402,47450590,41422698959,True,True,False
